"StrongsID","Definition","Exegesis","Language","Pronunciation","Transliteration","Unicode"
"G1068"," oil-press; Gethsemane, a garden near Jerusalem","of Chaldee origin (compare H1660 and H8081)","greek","""gheth-say-man-ay'""","""Gethsēmanē""","""Γεθσημανῆ"" "
"G1069"," a neighbour (as adjoining one's ground); by implication, a friend","from G1093","greek","""ghi'-tone""","""geítōn""","""γείτων"" "
"G107"," Azor, an Israelite","of Hebrew origin (compare H5809)","greek","""ad-zore'""","""Azṓr""","""Ἀζώρ"" "
"G1070"," to laugh (as a sign of joy or satisfaction)","of uncertain affinity","greek","""ghel-ah'-o""","""geláō""","""γελάω"" "
"G1071"," laughter (as a mark of gratification)","from G1070","greek","""ghel'-os""","""gélōs""","""γέλως"" "
"G1072"," to fill entirely","transitive from G1073","greek","""ghem-id'-zo""","""gemízō""","""γεμίζω"" "
"G1073"," to swell out, i.e. be full","a primary verb","greek","""ghem'-o""","""gémō""","""γέμω"" "
"G1074"," a generation; by implication, an age (the period or the persons)","from (a presumed derivative of) G1085","greek","""ghen-eh-ah'""","""geneá""","""γενεά"" "
"G1075"," to reckon by generations, i.e. trace in genealogy","from G1074 and G3056","greek","""ghen-eh-al-og-eh'-o""","""genealogéō""","""γενεαλογέω"" "
"G1076"," tracing by generations, i.e. ""genealogy""","from the same as G1075","greek","""ghen-eh-al-og-ee'-ah""","""genealogía""","""γενεαλογία"" "
"G1077"," birthday ceremonies","neuter plural of a derivative of G1078","greek","""ghen-es'-ee-ah""","""genésia""","""γενέσια"" "
"G1078"," nativity; figuratively, nature","from the same as G1074","greek","""ghen'-es-is""","""génesis""","""γένεσις"" "
"G1079"," birth","feminine of a presumed derivative of the base of G1074","greek","""ghen-et-ay""","""genetḗ""","""γενετή"" "
"G108"," Azotus (i.e. Ashdod), a place in Palestine","of Hebrew origin (H795)","greek","""ad'-zo-tos""","""Ázōtos""","""Ἄζωτος"" "
"G1080"," to procreate (properly, of the father, but by extension of the mother); figuratively, to regenerate","from a variation of G1085","greek","""ghen-nah'-o""","""gennáō""","""γεννάω"" "
"G1081"," offspring; by analogy, produce (literally or figuratively)","from G1080","greek","""ghen'-nay-mah""","""génnēma""","""γέννημα"" "
"G1082"," Gennesaret (i.e. Kinnereth), a lake and plain in Palestine","of Hebrew origin (compare H3672)","greek","""ghen-nay-sar-et'""","""Gennēsarét""","""Γεννησαρέτ"" "
"G1083"," nativity","from G1080","greek","""ghen'-nay-sis""","""génnēsis""","""γέννησις"" "
"G1084"," born","from G1080","greek","""ghen-nay-tos'""","""gennētós""","""γεννητός"" "
"G1085"," ""kin"" (abstract or concrete, literal or figurative, individual or collective)","from G1096","greek","""ghen'-os""","""génos""","""γένος"" "
"G1086"," a Gergesene (i.e. Girgashite) or one of the aborigines of Palestine","of Hebrew origin (H1622)","greek","""gher-ghes-ay-nos'""","""Gergesēnós""","""Γεργεσηνός"" "
"G1087"," the eldership, i.e. (collectively) the Jewish Sanhedrin","from G1088","greek","""gher-oo-see'-ah""","""gerousía""","""γερουσία"" "
"G1088"," aged","of uncertain affinity (compare G1094)","greek","""gher'-own""","""gérōn""","""γέρων"" "
"G1089"," to taste; by implication, to eat; figuratively, to experience (good or ill)","a primary verb","greek","""ghyoo'-om-ahee""","""geúomai""","""γεύομαι"" "
"G109"," by analogy, to blow); ""air"" (as naturally circumambient)","from <greek BETA=""A)/HMI"" unicode=""ἄημι"" translit=""áēmi (to breathe unconsciously, i.e. respire","greek","""ah-ayr'""","""aḗr""","""ἀήρ"" "
"G1090"," to till (the soil)","from G1092","greek","""gheh-or-gheh'-o""","""geōrgéō""","""γεωργέω"" "
"G1091"," cultivable, i.e. a farm","neuter of a (presumed) derivative of G1092","greek","""gheh-ore'-ghee-on""","""geṓrgion""","""γεώργιον"" "
"G1092"," a land-worker, i.e. farmer","from G1093 and the base of G2041","greek","""gheh-ore-gos'""","""geōrgós""","""γεωργός"" "
"G1093"," soil; by extension a region, or the solid part or the whole of the terrene globe (including the occupants in each application)","contracted from a primary word","greek","""ghay""","""gē""","""γῆ"" "
"G1094"," senility","akin to G1088","greek","""ghay'-ras""","""gēras""","""γῆρας"" "
"G1095"," to be senescent","from G1094","greek","""ghay-ras'-ko""","""gēráskō""","""γηράσκω"" "
"G1096"," to cause to be (""gen""-erate), i.e. (reflexively) to become (come into being), used with great latitude (literal, figurative, intensive, etc.)","a prolongation and middle voice form of a primary verb","greek","""ghin'-om-ahee""","""gínomai""","""γίνομαι"" "
"G1097"," to ""know"" (absolutely) in a great variety of applications and with many implications (as follow, with others not thus clearly expressed)","a prolonged form of a primary verb","greek","""ghin-oce'-ko""","""ginṓskō""","""γινώσκω"" "
"G1098"," sweet wine, i.e. (properly) must (fresh juice), but used of the more saccharine (and therefore highly inebriating) fermented wine","akin to G1099","greek","""glyoo'-kos""","""gleûkos""","""γλεῦκος"" "
"G1099"," sweet (i.e. not bitter nor salt)","of uncertain affinity","greek","""gloo-koos'""","""glykýs""","""γλυκύς"" "
"G11"," Abraham, the Hebrew patriarch","of Hebrew origin (H85)","greek","""ab-rah-am'""","""Abraám""","""Ἀβραάμ"" "
"G110"," deathlessness","from a compound of G1 (as a negative particle) and G2288","greek","""ath-an-as-ee'-ah""","""athanasía""","""ἀθανασία"" "
"G1100"," the tongue; by implication, a language (specially, one naturally unacquired)","of uncertain affinity","greek","""gloce-sah'""","""glōssa""","""γλῶσσα"" "
"G1101"," properly, a case (to keep mouthpieces of wind-instruments in) i.e. (by extension) a casket or (specially) purse","from G1100 and the base of G2889","greek","""gloce-sok'-om-on""","""glōssókomon""","""γλωσσόκομον"" "
"G1102"," a cloth-dresser","by variation for a derivative from <greek BETA=""KNA/PTW"" unicode=""κνάπτω"" translit=""knáptō (to tease cloth)","greek","""gnaf-yuce'""","""gnapheús""","""γναφεύς"" "
"G1103"," legitimate (of birth), i.e. genuine","from the same as G1077","greek","""gnay'-see-os""","""gnḗsios""","""γνήσιος"" "
"G1104"," genuinely, i.e. really","adverb from G1103","greek","""gnay-see'-ose""","""gnēsíōs""","""γνησίως"" "
"G1105"," gloom (as of a storm)","akin to G3509","greek","""gnof'-os""","""gnóphos""","""γνόφος"" "
"G1106"," cognition, i.e. (subjectively) opinion, or (objectively) resolve (counsel, consent, etc.)","from G1097","greek","""gno'-may""","""gnṓmē""","""γνώμη"" "
"G1107"," to make known; subjectively, to know","from a derivative of G1097","greek","""gno-rid'-zo""","""gnōrízō""","""γνωρίζω"" "
"G1108"," knowing (the act), i.e. (by implication) knowledge","from G1097","greek","""gno'-sis""","""gnōsis""","""γνῶσις"" "
"G1109"," a knower","from G1097","greek","""gnoce'-tace""","""gnṓstēs""","""γνώστης"" "
"G111"," from the base of G5087""/>); illegal; by implication, flagitious","from G1 (as a negative particle) and a derivative of <greek BETA=""QE/MIS"" unicode=""θέμις"" translit=""thémis (statute","greek","""ath-em'-ee-tos""","""athémitos""","""ἀθέμιτος"" "
"G1110"," well-known","from G1097","greek","""gnoce-tos'""","""gnōstós""","""γνωστός"" "
"G1111"," to grumble","of uncertain derivation","greek","""gong-good'-zo""","""gongýzō""","""γογγύζω"" "
"G1112"," a grumbling","from G1111","greek","""gong-goos-mos'""","""gongysmós""","""γογγυσμός"" "
"G1113"," a grumbler","from G1111","greek","""gong-goos-tace'""","""gongystḗs""","""γογγυστής"" "
"G1114"," properly, a wizard (as muttering spells), i.e. (by implication) an imposter","from <greek BETA=""GOA/W"" unicode=""γοάω"" translit=""goáō (to wail)","greek","""go'-ace""","""góēs""","""γόης"" "
"G1115"," the skull; Golgotha, a knoll near Jerusalem","of Chaldee origin (compare H1538)","greek","""gol-goth-ah'""","""Golgothâ""","""Γολγοθᾶ"" "
"G1116"," Gomorrha (i.e. Amorah), a place near the Dead Sea","of Hebrew origin (H6017)","greek","""gom'-or-hrhah""","""Gómorrha""","""Γόμοῤῥα"" "
"G1117"," a load (as filling), i.e. (specially) a cargo, or (by extension) wares","from G1073","greek","""gom'-os""","""gómos""","""γόμος"" "
"G1118"," a parent","from the base of G1096","greek","""gon-yooce'""","""goneús""","""γονεύς"" "
"G1119"," the ""knee""","of uncertain affinity","greek","""gon-oo'""","""góny""","""γόνυ"" "
"G112"," godless","from G1 (as a negative particle) and G2316","greek","""ath'-eh-os""","""átheos""","""ἄθεος"" "
"G1120"," to fall on the knee","from a compound of G1119 and the alternate of G4098","greek","""gon-oo-pet-eh'-o""","""gonypetéō""","""γονυπετέω"" "
"G1121"," a writing, i.e. a letter, note, epistle, book, etc.; plural learning","from G1125","greek","""gram'-mah""","""grámma""","""γράμμα"" "
"G1122",":--scribe, town-clerk.~see G1121""/>","from G1121. a writer, i.e. (professionally) scribe or secretary</strongs_derivation>","greek","""gram-mat-yooce'""","""grammateús""","""γραμματεύς"" "
"G1123"," inscribed (figuratively)","from G1125","greek","""grap-tos'""","""graptós""","""γραπτός"" "
"G1124"," a document, i.e. holy Writ (or its contents or a statement in it)","from G1125","greek","""graf-ay'""","""graphḗ""","""γραφή"" "
"G1125"," to ""grave"", especially to write; figuratively, to describe","a primary verb","greek","""graf'-o""","""gráphō""","""γράφω"" "
"G1126"," crone-like, i.e. silly","from <greek BETA=""GRAU/S"" unicode=""γραύς"" translit=""graús (an old woman) and G1491","greek","""grah-o'-dace""","""graṓdēs""","""γραώδης"" "
"G1127"," to keep awake, i.e. watch (literally or figuratively)","from G1453","greek","""gray-gor-yoo'-o""","""grēgoreúō""","""γρηγορεύω"" "
"G1128"," to practise naked (in the games), i.e. train (figuratively)","from G1131","greek","""goom-nad'-zo""","""gymnázō""","""γυμνάζω"" "
"G1129"," training, i.e. (figuratively) asceticism","from G1128","greek","""goom-nas-ee'-ah""","""gymnasía""","""γυμνασία"" "
"G113"," lawless, i.e. (by implication) criminal","from G1 (as a negative particle) and a derivative of G5087 (in the sense of enacting)","greek","""ath'-es-mos""","""áthesmos""","""ἄθεσμος"" "
"G1130"," to strip, i.e. (reflexively) go poorly clad","from a derivative of G1131","greek","""goom-nayt-yoo'-o""","""gymnēteúō""","""γυμνητεύω"" "
"G1131"," nude (absolute or relative, literal or figurative)","of uncertain affinity","greek","""goom-nos'""","""gymnós""","""γυμνός"" "
"G1132"," nudity (absolute or comparative)","from G1131","greek","""goom-not'-ace""","""gymnótēs""","""γυμνότης"" "
"G1133"," a little (i.e. foolish) woman","a diminutive from G1135","greek","""goo-nahee-kar'-ee-on""","""gynaikárion""","""γυναικάριον"" "
"G1134"," feminine","from G1135","greek","""goo-nahee-ki'-os""","""gynaikeîos""","""γυναικεῖος"" "
"G1135"," a woman; specially, a wife","probably from the base of G1096","greek","""goo-nay'""","""gynḗ""","""γυνή"" "
"G1136"," Gog, a symbolic name for some future Antichrist","of Hebrew origin (H1463)","greek","""gogue""","""Gṓg""","""Γώγ"" "
"G1137"," an angle","probably akin to G1119","greek","""go-nee'-ah""","""gōnía""","""γωνία"" "
"G1138"," Dabid (i.e. David), the Israelite king","of Hebrew origin (H1732)","greek","""dab-eed'""","""Dabíd""","""Δαβίδ"" "
"G1139"," to be exercised by a dæmon","middle voice from G1142","greek","""dahee-mon-id'-zom-ahee""","""daimonízomai""","""δαιμονίζομαι"" "
"G114"," to set aside, i.e. (by implication) to disesteem, neutralize or violate","from a compound of G1 (as a negative particle) and a derivative of G5087","greek","""ath-et-eh'-o""","""athetéō""","""ἀθετέω"" "
"G1140"," a dæmonic being; by extension a deity","neuter of a derivative of G1142","greek","""dahee-mon'-ee-on""","""daimónion""","""δαιμόνιον"" "
"G1141"," dæmon-like","from G1140 and G1142","greek","""dahee-mon-ee-o'-dace""","""daimoniṓdēs""","""δαιμονιώδης"" "
"G1142"," a dæmon or supernatural spirit (of a bad nature)","from <greek BETA=""DAI/W"" unicode=""δαίω"" translit=""daíō (to distribute fortunes)","greek","""dah'-ee-mown""","""daímōn""","""δαίμων"" "
"G1143"," to bite, i.e. (figuratively) thwart","a prolonged form of a primary root","greek","""dak'-no""","""dáknō""","""δάκνω"" "
"G1144"," a tear","of uncertain affinity","greek","""dak'-roo"" or <greek BETA=""DA/KRUON"" unicode=""δάκρυον"" translit=""dákryon"" ","""dákry""","""δάκρυ"" "
"G1145"," to shed tears","from G1144","greek","""dak-roo'-o""","""dakrýō""","""δακρύω"" "
"G1146"," a finger-ring","from G1147","greek","""dak-too'-lee-os""","""daktýlios""","""δακτύλιος"" "
"G1147"," a finger","probably from G1176","greek","""dak'-too-los""","""dáktylos""","""δάκτυλος"" "
"G1148"," Dalmanutha, a place in Palestine","probably of Chaldee origin","greek","""dal-man-oo-thah'""","""Dalmanouthá""","""Δαλμανουθά"" "
"G1149"," Dalmatia, a region of Europe","probably of foreign derivation","greek","""dal-mat-ee'-ah""","""Dalmatía""","""Δαλματία"" "
"G115"," cancellation (literally or figuratively)","from G114","greek","""ath-et'-ay-sis""","""athétēsis""","""ἀθέτησις"" "
"G1150"," to tame","a variation of an obsolete primary of the same meaning","greek","""dam-ad'-zo""","""damázō""","""δαμάζω"" "
"G1151"," a heifer (as tame)","probably from the base of G1150","greek","""dam'-al-is""","""dámalis""","""δάμαλις"" "
"G1152"," perhaps gentle; Damaris, an Athenian woman","probably from the base of G1150","greek","""dam'-ar-is""","""Dámaris""","""Δάμαρις"" "
"G1153"," a Damascene or inhabitant of Damascus","from G1154","greek","""dam-as-kay-nos'""","""Damaskēnós""","""Δαμασκηνός"" "
"G1154"," Damascus, a city of Syria","of Hebrew origin (H1834)","greek","""dam-as-kos'""","""Damaskós""","""Δαμασκός"" "
"G1155"," to loan on interest; reflexively, to borrow","from G1156","greek","""dan-ide'-zo""","""daneízō""","""δανείζω"" "
"G1156"," probably akin to the base of G1325""/>; a loan","from <greek BETA=""DA/NOS"" unicode=""δάνος"" translit=""dános (a gift)","greek","""dan'-i-on""","""dáneion""","""δάνειον"" "
"G1157"," a lender","from G1155","greek","""dan-ice-tace'""","""daneistḗs""","""δανειστής"" "
"G1158"," Daniel, an Israelite","of Hebrew origin (H1840)","greek","""dan-ee-ale'""","""Daniḗl""","""Δανιήλ"" "
"G1159"," to expend, i.e. (in a good sense) to incur cost, or (in a bad one) to waste","from G1160","greek","""dap-an-ah'-o""","""dapanáō""","""δαπανάω"" "
"G116"," Athenæ, the capitol of Greece","plural of <greek BETA=""*)AQH/NH"" unicode=""Ἀθήνη"" translit=""Athḗnē (the goddess of wisdom, who was reputed to have founded the city)","greek","""ath-ay-nahee""","""Athēnai""","""Ἀθῆναι"" "
"G1160"," expense (as consuming)","from <greek BETA=""DA/PTW"" unicode=""δάπτω"" translit=""dáptō (to devour)","greek","""dap-an'-ay""","""dapánē""","""δαπάνη"" "
"G1161"," but, and, etc.","a primary particle (adversative or continuative)","greek","""deh""","""dé""","""δέ"" "
"G1162"," a petition","from G1189","greek","""deh'-ay-sis""","""déēsis""","""δέησις"" "
"G1163"," also deon deh-on'; neuter active participle of the same; both used impersonally; it is (was, etc.) necessary (as binding)","3rd person singular active present of G1210","greek","""die""","""deî""","""δεῖ"" "
"G1164"," a specimen (as shown)","from the base of G1166","greek","""digh'-mah""","""deîgma""","""δεῖγμα"" "
"G1165"," to exhibit","from G1164","greek","""digh-mat-id'-zo""","""deigmatízō""","""δειγματίζω"" "
"G1166"," to show (literally or figuratively)","a prolonged form of an obsolete primary of the same meaning","greek","""dike-noo'-o""","""deiknýō""","""δεικνύω"" "
"G1167"," timidity","from G1169","greek","""di-lee'-ah""","""deilía""","""δειλία"" "
"G1168"," to be timid","from G1167","greek","""di-lee-ah'-o""","""deiliáō""","""δειλιάω"" "
"G1169"," timid, i.e. (by implication) faithless","from <greek BETA=""DEO/S"" unicode=""δεός"" translit=""deós (dread)","greek","""di-los'""","""deilós""","""δειλός"" "
"G117"," an Athenæan or inhabitant of Athenæ","from G116","greek","""ath-ay-nah'-yos""","""Athēnaîos""","""Ἀθηναῖος"" "
"G1170"," so and so (when the person is not specified)","probably from the same as G1171 (through the idea of forgetting the name as fearful, i.e. strange)","greek","""di'-nah""","""deîna""","""δεῖνα"" "
"G1171"," terribly, i.e. excessively","adverb from a derivative of the same as G1169","greek","""di-noce'""","""deinōs""","""δεινῶς"" "
"G1172"," to dine, i.e. take the principle (or evening) meal","from G1173","greek","""dipe-neh'-o""","""deipnéō""","""δειπνέω"" "
"G1173"," dinner, i.e. the chief meal (usually in the evening)","from the same as G1160","greek","""dipe'-non""","""deîpnon""","""δεῖπνον"" "
"G1174"," more religious than others","the compound of a derivative of the base of G1169 and G1142","greek","""dice-ee-dahee-mon-es'-ter-os""","""deisidaimonésteros""","""δεισιδαιμονέστερος"" "
"G1175"," religion","from the same as G1174","greek","""dice-ee-dahee-mon-ee'-ah""","""deisidaimonía""","""δεισιδαιμονία"" "
"G1176"," ten","a primary number","greek","""dek'-ah""","""déka""","""δέκα"" "
"G1177"," two and ten, i.e. twelve","from G1176 and G1417","greek","""dek-ad-oo'-o""","""dekadýo""","""δεκαδύο"" "
"G1178"," ten and five, i.e. fifteen","from G1176 and G4002","greek","""dek-ap-en'-teh""","""dekapénte""","""δεκαπέντε"" "
"G1179"," the ten-city region; the Decapolis, a district in Syria","from G1176 and G4172","greek","""dek-ap'-ol-is""","""Dekápolis""","""Δεκάπολις"" "
